,candidate,state,date,time_bucket,prop,abbreviation,party
143,Marco Rubio,South Carolina,February 20,24,22.5,SC,R
144,Marco Rubio,Tennessee,March 1,26,21.2,TN,R
145,Marco Rubio,Texas,March 1,26,17.7,TX,R
146,Marco Rubio,Vermont,March 1,26,19.3,VT,R
147,Marco Rubio,Virginia,March 1,26,31.9,VA,R
180,Marco Rubio,Maine,March 5,26,8,ME,R
184,Marco Rubio,Wyoming,March 12,27,19.5,WY,R
148,Martin O'Malley,Iowa,February 1,22,0.06,IA,R
149,Mike Huckabee,Iowa,February 1,22,1.8,IA,R
150,Rand Paul,Iowa,February 1,22,4.5,IA,R
151,Rick Santorum,Iowa,February 1,22,1,IA,R
152,Ted Cruz,Alabama,March 1,26,21.1,AL,R
153,Ted Cruz,Arizona,March 22,29,24.9,AZ,R
154,Ted Cruz,Arkansas,March 1,26,30.5,AR,R
155,Ted Cruz,Florida,March 15,28,17.1,FL,R
156,Ted Cruz,Georgia,March 1,26,23.6,GA,R
157,Ted Cruz,Idaho,March 8,27,45.4,ID,R
158,Ted Cruz,Illinois,March 15,28,30.3,IL,R
159,Ted Cruz,Iowa,February 1,22,27.6,IA,R
160,Ted Cruz,Kentucky,March 5,26,31.6,KY,R
161,Ted Cruz,Louisiana,March 5,26,37.8,LA,R
162,Ted Cruz,Massachusetts,March 1,26,9.6,MA,R
163,Ted Cruz,Michigan,March 8,27,24.9,MI,R
164,Ted Cruz,Mississippi,March 8,27,36.3,MS,R
165,Ted Cruz,Missouri,March 15,28,40.7,MO,R
166,Ted Cruz,Nevada,February 23,25,21.4,NV,R
167,Ted Cruz,New Hampshire,February 9,23,11.7,NH,R
168,Ted Cruz,North Carolina,March 15,28,36.8,NC,R
169,Ted Cruz,Ohio,March 15,28,13.1,OH,R
170,Ted Cruz,Oklahoma,March 1,26,34.4,OK,R
171,Ted Cruz,South Carolina,February 20,24,22.3,SC,R
172,Ted Cruz,Tennessee,March 1,26,24.7,TN,R
173,Ted Cruz,Texas,March 1,26,43.8,TX,R
174,Ted Cruz,Utah,March 22,29,69.2,UT,R
175,Ted Cruz,Vermont,March 1,26,9.7,VT,R
176,Ted Cruz,Virginia,March 1,26,16.9,VA,R
